gene,isoform,partner,dIF,partner_dIF,gene_expression,first_exon_differs,last_exon_differs,internal_junction_differs,first_exons_disjoint,last_exons_disjoint,tss_distance_bp,tes_distance_bp,same_tss_id,n_exons_sw,n_exons_partner,cc_sw,cc_partner,event_class
ERO1B,TCONS_00021077,TCONS_00031611,-0.278433333333333,0.177933333333333,"<bound method Series.ge of gname                      ERO1B
gene_id              XLOC_005152
isoform_id        TCONS_00021077
oId           ENST00000354619.10
cc                             =
dIF                    -0.278433
is_sw                       True
ge                     15.397909
v1                      3.521724
v2                      5.252194
IF1                     0.767967
IF2                     0.489533
Name: 70, dtype: object>",True,True,True,True,False,56819,3288,False,16,4,=,c,promoter_plus_internal
FAM156A,TCONS_00309653,TCONS_00309654,-0.2188,0.145,"<bound method Series.ge of gname                   FAM156A
gene_id             XLOC_056546
isoform_id       TCONS_00309653
oId           ENST00000619518.5
cc                            =
dIF                     -0.2188
is_sw                      True
ge                     18.80082
v1                     2.061718
v2                          0.0
IF1                      0.2188
IF2                         0.0
Name: 412, dtype: object>",True,False,False,False,False,0,0,True,4,3,=,=,terminal_other
FAM216A,TCONS_00077194,TCONS_00077193,-0.1887,0.139166666666667,"<bound method Series.ge of gname                FAM216A
gene_id          XLOC_011856
isoform_id    TCONS_00077194
oId                PB.4621.3
cc                         c
dIF                  -0.1887
is_sw                   True
ge                 26.617482
v1                  6.086899
v2                  1.659391
IF1                 0.359367
IF2                 0.170667
Name: 118, dtype: object>",True,False,True,True,False,18010,0,False,4,7,c,j,promoter_plus_internal
FIGNL1,TCONS_00273133,TCONS_00273135,0.2019,-0.2121,"<bound method Series.ge of gname                    FIGNL1
gene_id             XLOC_049326
isoform_id       TCONS_00273133
oId           ENST00000615084.4
cc                            =
dIF                      0.2019
is_sw                      True
ge                    14.214919
v1                      1.79355
v2                     3.504811
IF1                    0.265933
IF2                    0.467833
Name: 368, dtype: object>",True,False,False,True,False,92145,0,False,3,2,=,=,pure_promoter_switch
FIGNL1,TCONS_00273135,TCONS_00273133,-0.2121,0.2019,"<bound method Series.ge of gname                    FIGNL1
gene_id             XLOC_049326
isoform_id       TCONS_00273135
oId           ENST00000613602.3
cc                            =
dIF                     -0.2121
is_sw                      True
ge                    14.214919
v1                     2.560787
v2                     1.233805
IF1                    0.377333
IF2                    0.165233
Name: 369, dtype: object>",True,False,False,True,False,92145,0,False,2,3,=,=,pure_promoter_switch
FSTL3,TCONS_00144143,TCONS_00144146,0.437166666666667,-0.3737,"<bound method Series.ge of gname                     FSTL3
gene_id             XLOC_025627
isoform_id       TCONS_00144143
oId           ENST00000166139.9
cc                            =
dIF                    0.437167
is_sw                      True
ge                    57.876888
v1                     0.366625
v2                    30.219188
IF1                    0.105433
IF2                      0.5426
Name: 238, dtype: object>",True,True,True,True,False,4315,7,False,5,3,=,=,promoter_plus_internal
FSTL3,TCONS_00144146,TCONS_00144143,-0.3737,0.437166666666667,"<bound method Series.ge of gname                     FSTL3
gene_id             XLOC_025627
isoform_id       TCONS_00144146
oId           ENST00000592947.5
cc                            =
dIF                     -0.3737
is_sw                      True
ge                    57.876888
v1                     2.479654
v2                    23.352834
IF1                    0.809333
IF2                    0.435633
Name: 239, dtype: object>",True,True,True,True,False,4315,7,False,3,5,=,=,promoter_plus_internal
IFT81,TCONS_00075098,TCONS_00077192,-0.157733333333333,0.142366666666667,"<bound method Series.ge of gname                  IFT81
gene_id          XLOC_011852
isoform_id    TCONS_00075098
oId                PB.4209.6
cc                         c
dIF                -0.157733
is_sw                   True
ge                 29.620588
v1                  4.500959
v2                  1.813055
IF1                 0.287033
IF2                   0.1293
Name: 109, dtype: object>",True,True,True,True,False,40964,11,False,9,5,c,c,promoter_plus_internal
IL23A,TCONS_00064570,TCONS_00078058,0.584466666666667,-0.192233333333333,"<bound method Series.ge of gname                  IL23A
gene_id          XLOC_011393
isoform_id    TCONS_00064570
oId                PB.4584.2
cc                         =
dIF                 0.584467
is_sw                   True
ge                135.992735
v1                  0.570908
v2                112.360705
IF1                 0.265867
IF2                 0.850333
Name: 101, dtype: object>",True,False,False,True,False,1900,0,False,4,4,=,j,pure_promoter_switch
IL23A,TCONS_00078058,TCONS_00064570,-0.192233333333333,0.584466666666667,"<bound method Series.ge of gname                  IL23A
gene_id          XLOC_011393
isoform_id    TCONS_00078058
oId                PB.4584.1
cc                         j
dIF                -0.192233
is_sw                   True
ge                135.992735
v1                  0.386844
v2                  0.925195
IF1                 0.198967
IF2                 0.006733
Name: 102, dtype: object>",True,False,False,True,False,1900,0,False,4,4,j,=,pure_promoter_switch
IPCEF1,TCONS_00260841,TCONS_00262658,-0.238733333333333,0.1381,"<bound method Series.ge of gname                    IPCEF1
gene_id             XLOC_047270
isoform_id       TCONS_00260841
oId           ENST00000367220.9
cc                            =
dIF                   -0.238733
is_sw                      True
ge                    34.738119
v1                     9.105078
v2                     3.120578
IF1                    0.451433
IF2                      0.2127
Name: 348, dtype: object>",True,True,True,True,True,85427,250806,False,12,11,=,c,promoter_plus_internal
KDM6B,TCONS_00122000,TCONS_00122005,-0.216866666666667,0.349433333333333,"<bound method Series.ge of gname                     KDM6B
gene_id             XLOC_021732
isoform_id       TCONS_00122000
oId           ENST00000448097.7
cc                            =
dIF                   -0.216867
is_sw                      True
ge                    62.684335
v1                      2.54577
v2                    10.434659
IF1                    0.404833
IF2                    0.187967
Name: 184, dtype: object>",True,True,True,True,True,9990,9824,False,24,2,=,=,promoter_plus_internal
LDAF1,TCONS_00109446,TCONS_00109444,-0.152066666666667,0.0572,"<bound method Series.ge of gname                  LDAF1
gene_id          XLOC_019560
isoform_id    TCONS_00109446
oId                PB.4813.1
cc                         =
dIF                -0.152067
is_sw                   True
ge                  13.16422
v1                  2.850813
v2                  1.205204
IF1                 0.371633
IF2                 0.219567
Name: 156, dtype: object>",True,True,True,False,True,45,7256,True,5,4,=,=,internal_splicing_only
MGAT4A,TCONS_00173596,TCONS_00179806,-0.153666666666667,0.1734,"<bound method Series.ge of gname                    MGAT4A
gene_id             XLOC_031205
isoform_id       TCONS_00173596
oId           ENST00000414521.6
cc                            =
dIF                   -0.153667
is_sw                      True
ge                    21.691283
v1                      2.08802
v2                          0.0
IF1                    0.153667
IF2                         0.0
Name: 242, dtype: object>",True,True,True,True,False,67462,42,False,13,16,=,j,promoter_plus_internal
MREG,TCONS_00177113,TCONS_00177118,0.211166666666667,-0.308733333333333,"<bound method Series.ge of gname                      MREG
gene_id             XLOC_032056
isoform_id       TCONS_00177113
oId           ENST00000620139.4
cc                            =
dIF                    0.211167
is_sw                      True
ge                    18.142935
v1                     0.866875
v2                     3.665224
IF1                    0.123867
IF2                    0.335033
Name: 251, dtype: object>",True,True,True,True,True,68196,95583,False,6,8,=,=,promoter_plus_internal
MREG,TCONS_00177118,TCONS_00177113,-0.308733333333333,0.211166666666667,"<bound method Series.ge of gname                      MREG
gene_id             XLOC_032056
isoform_id       TCONS_00177118
oId           ENST00000265322.8
cc                            =
dIF                   -0.308733
is_sw                      True
ge                    18.142935
v1                     3.504648
v2                     1.984474
IF1                    0.491067
IF2                    0.182333
Name: 252, dtype: object>",True,True,True,True,True,68196,95583,False,8,6,=,=,promoter_plus_internal
MTUS1,TCONS_00285763,TCONS_00285765,0.227866666666667,-0.0755333333333333,"<bound method Series.ge of gname                      MTUS1
gene_id              XLOC_051660
isoform_id        TCONS_00285763
oId           ENST00000297488.10
cc                             =
dIF                     0.227867
is_sw                       True
ge                     22.336439
v1                      0.257583
v2                      0.785286
IF1                     0.014667
IF2                     0.242533
Name: 389, dtype: object>",True,True,True,True,False,103424,3,False,10,15,=,=,promoter_plus_internal
NCOA7,TCONS_00254331,TCONS_00261826,0.3771,-0.117966666666667,"<bound method Series.ge of gname                     NCOA7
gene_id             XLOC_045594
isoform_id       TCONS_00254331
oId           ENST00000438495.6
cc                            =
dIF                      0.3771
is_sw                      True
ge                    60.862136
v1                     5.871942
v2                    25.344736
IF1                    0.268733
IF2                    0.645833
Name: 311, dtype: object>",True,True,True,True,False,3489,3,False,6,4,=,c,promoter_plus_internal
NET1,TCONS_00031817,TCONS_00031820,-0.1665,0.158766666666667,"<bound method Series.ge of gname                      NET1
gene_id             XLOC_005330
isoform_id       TCONS_00031817
oId           ENST00000355029.9
cc                            =
dIF                     -0.1665
is_sw                      True
ge                    39.171641
v1                      5.06895
v2                     5.350192
IF1                      0.3752
IF2                      0.2087
Name: 74, dtype: object>",True,True,True,True,False,34054,593,False,12,10,=,=,promoter_plus_internal
NOTCH2NLC,TCONS_00030251,TCONS_00025715,-0.172033333333333,0.118133333333333,"<bound method Series.ge of gname              NOTCH2NLC
gene_id          XLOC_001497
isoform_id    TCONS_00030251
oId                PB.1254.1
cc                         c
dIF                -0.172033
is_sw                   True
ge                 87.772711
v1                  5.426418
v2                  4.188624
IF1                 0.236833
IF2                   0.0648
Name: 13, dtype: object>",True,True,False,True,True,90201,92162,False,2,2,c,c,pure_promoter_switch
NUPR1,TCONS_00115801,TCONS_00115814,-0.165966666666667,0.165066666666667,"<bound method Series.ge of gname                  NUPR1
gene_id          XLOC_020854
isoform_id    TCONS_00115801
oId                PB.4862.2
cc                         =
dIF                -0.165967
is_sw                   True
ge                 43.850207
v1                 10.926182
v2                  2.914948
IF1                 0.366767
IF2                   0.2008
Name: 177, dtype: object>",True,True,True,True,True,71073,67883,False,3,8,=,=,promoter_plus_internal
OR2A20P,TCONS_00276619,TCONS_00276621,0.152866666666667,-0.0793,"<bound method Series.ge of gname                   OR2A20P
gene_id             XLOC_050117
isoform_id       TCONS_00276619
oId           ENST00000496968.5
cc                            =
dIF                    0.152867
is_sw                      True
ge                    13.399884
v1                     0.711213
v2                     1.774341
IF1                    0.104567
IF2                    0.257433
Name: 374, dtype: object>",True,True,True,False,True,165,6677,True,5,6,=,=,internal_splicing_only
P2RY6,TCONS_00057713,TCONS_00047585,-0.155166666666667,0.0929333333333334,"<bound method Series.ge of gname                  P2RY6
gene_id          XLOC_008555
isoform_id    TCONS_00057713
oId                PB.3105.6
cc                         j
dIF                -0.155167
is_sw                   True
ge                 34.498437
v1                  3.791775
v2                  0.486084
IF1                   0.1887
IF2                 0.033533
Name: 100, dtype: object>",True,True,False,True,False,16280,823,False,3,2,j,=,pure_promoter_switch
P2RY8,TCONS_00308441,TCONS_00308442,-0.1769,0.1769,"<bound method Series.ge of gname                      P2RY8
gene_id              XLOC_056164
isoform_id        TCONS_00308441
oId           ENST00000381297.10
cc                             =
dIF                      -0.1769
is_sw                       True
ge                     22.719755
v1                      8.265442
v2                     10.534449
IF1                     0.942433
IF2                     0.765533
Name: 408, dtype: object>",True,True,False,True,False,42832,3856,False,2,2,=,=,pure_promoter_switch
P2RY8,TCONS_00308442,TCONS_00308441,0.1769,-0.1769,"<bound method Series.ge of gname                     P2RY8
gene_id             XLOC_056164
isoform_id       TCONS_00308442
oId           ENST00000460672.6
cc                            =
dIF                      0.1769
is_sw                      True
ge                    22.719755
v1                     0.497472
v2                     3.422392
IF1                    0.057567
IF2                    0.234467
Name: 409, dtype: object>",True,True,False,True,False,42832,3856,False,2,2,=,=,pure_promoter_switch
P2RY8,TCONS_00314770,TCONS_00308442,-0.1769,0.1769,"<bound method Series.ge of gname                            P2RY8
gene_id                    XLOC_057581
isoform_id              TCONS_00314770
oId           ENST00000381297.10_PAR_Y
cc                                   =
dIF                            -0.1769
is_sw                             True
ge                           22.719755
v1                            8.265442
v2                           10.534449
IF1                           0.942433
IF2                           0.765533
Name: 420, dtype: object>",True,True,False,True,False,42832,3856,False,2,2,=,=,pure_promoter_switch
P2RY8,TCONS_00314771,TCONS_00308441,0.1769,-0.1769,"<bound method Series.ge of gname                           P2RY8
gene_id                   XLOC_057581
isoform_id             TCONS_00314771
oId           ENST00000460672.6_PAR_Y
cc                                  =
dIF                            0.1769
is_sw                            True
ge                          22.719755
v1                           0.497472
v2                           3.422392
IF1                          0.057567
IF2                          0.234467
Name: 421, dtype: object>",True,True,False,True,False,42832,3856,False,2,2,=,=,pure_promoter_switch
PCOLCE2,TCONS_00220893,TCONS_00220892,-0.195833333333333,0.0969,"<bound method Series.ge of gname                PCOLCE2
gene_id          XLOC_038421
isoform_id    TCONS_00220893
oId               PB.12555.1
cc                         c
dIF                -0.195833
is_sw                   True
ge                  18.64433
v1                  2.859811
v2                  0.384055
IF1                   0.2493
IF2                 0.053467
Name: 279, dtype: object>",True,False,False,True,False,5379,0,False,7,6,c,c,pure_promoter_switch
PELO,TCONS_00246514,TCONS_00236107,-0.265833333333333,0.107,"<bound method Series.ge of gname                   PELO
gene_id          XLOC_041899
isoform_id    TCONS_00246514
oId               PB.13952.2
cc                         c
dIF                -0.265833
is_sw                   True
ge                 28.506304
v1                  7.899973
v2                  8.936817
IF1                   0.7607
IF2                 0.494867
Name: 287, dtype: object>",True,True,True,True,True,63881,85282,False,2,6,c,=,promoter_plus_internal
PHIP,TCONS_00258559,TCONS_00265362,-0.1562,0.1217,"<bound method Series.ge of gname                      PHIP
gene_id             XLOC_046759
isoform_id       TCONS_00258559
oId           ENST00000275034.5
cc                            =
dIF                     -0.1562
is_sw                      True
ge                     51.07022
v1                    18.450535
v2                    21.592843
IF1                    0.878467
IF2                    0.722267
Name: 342, dtype: object>",True,True,True,True,True,132096,10973,False,40,2,=,c,promoter_plus_internal
PPP2R5B,TCONS_00046393,TCONS_00057627,0.15,-0.0899666666666666,"<bound method Series.ge of gname                   PPP2R5B
gene_id             XLOC_008361
isoform_id       TCONS_00046393
oId           ENST00000164133.7
cc                            =
dIF                        0.15
is_sw                      True
ge                    15.540387
v1                     1.419165
v2                     2.582915
IF1                      0.1822
IF2                      0.3322
Name: 92, dtype: object>",True,False,False,True,False,6421,0,False,14,14,=,j,pure_promoter_switch
PSD3,TCONS_00285889,TCONS_00285879,-0.171466666666667,0.1145,"<bound method Series.ge of gname                      PSD3
gene_id             XLOC_051668
isoform_id       TCONS_00285889
oId           ENST00000521475.1
cc                            =
dIF                   -0.171467
is_sw                      True
ge                    63.015053
v1                     5.186516
v2                     3.839664
IF1                      0.2593
IF2                    0.087833
Name: 398, dtype: object>",True,True,True,True,True,230356,170592,False,2,6,=,=,promoter_plus_internal
RASSF5,TCONS_00009554,TCONS_00009548,-0.159566666666667,0.140533333333333,"<bound method Series.ge of gname                    RASSF5
gene_id             XLOC_002245
isoform_id       TCONS_00009554
oId           ENST00000577571.5
cc                            =
dIF                   -0.159567
is_sw                      True
ge                    91.080878
v1                    11.193367
v2                     6.667601
IF1                    0.290467
IF2                      0.1309
Name: 17, dtype: object>",True,True,True,True,False,49634,181,False,5,6,=,=,promoter_plus_internal
RGS19,TCONS_00190138,TCONS_00190139,-0.274633333333333,0.288566666666667,"<bound method Series.ge of gname                     RGS19
gene_id             XLOC_033712
isoform_id       TCONS_00190138
oId           ENST00000395042.2
cc                            =
dIF                   -0.274633
is_sw                      True
ge                    72.735373
v1                    22.962633
v2                     3.942889
IF1                    0.451333
IF2                      0.1767
Name: 255, dtype: object>",True,False,False,True,False,470,0,False,6,6,=,=,terminal_other
RGS19,TCONS_00190139,TCONS_00190138,0.288566666666667,-0.274633333333333,"<bound method Series.ge of gname                     RGS19
gene_id             XLOC_033712
isoform_id       TCONS_00190139
oId           ENST00000332298.9
cc                            =
dIF                    0.288567
is_sw                      True
ge                    72.735373
v1                    21.890821
v2                    16.103468
IF1                    0.439533
IF2                      0.7281
Name: 256, dtype: object>",True,False,False,True,False,470,0,False,6,6,=,=,terminal_other
RHOF,TCONS_00073896,TCONS_00073903,0.266533333333333,-0.142233333333333,"<bound method Series.ge of gname                      RHOF
gene_id             XLOC_013451
isoform_id       TCONS_00073896
oId           ENST00000267205.7
cc                            =
dIF                    0.266533
is_sw                      True
ge                    57.025359
v1                     5.376162
v2                    16.849493
IF1                      0.2278
IF2                    0.494333
Name: 119, dtype: object>",True,True,True,True,True,9222,17513,False,5,4,=,=,promoter_plus_internal
RPL22P1,TCONS_00216168,TCONS_00218839,-0.155666666666667,0.155666666666667,"<bound method Series.ge of gname                   RPL22P1
gene_id             XLOC_038616
isoform_id       TCONS_00216168
oId           ENST00000418623.1
cc                            =
dIF                   -0.155667
is_sw                      True
ge                    35.261896
v1                     7.094261
v2                     5.329053
IF1                    0.435367
IF2                      0.2797
Name: 280, dtype: object>",True,True,False,False,False,146,53,False,1,1,=,c,terminal_other
RPL22P1,TCONS_00218839,TCONS_00216168,0.155666666666667,-0.155666666666667,"<bound method Series.ge of gname                RPL22P1
gene_id          XLOC_038616
isoform_id    TCONS_00218839
oId               PB.13571.1
cc                         c
dIF                 0.155667
is_sw                   True
ge                 35.261896
v1                  9.177898
v2                 13.660684
IF1                 0.564633
IF2                   0.7203
Name: 281, dtype: object>",True,True,False,False,False,146,53,False,1,1,c,=,terminal_other
SLC29A3,TCONS_00040531,TCONS_00033700,-0.2036,0.170033333333333,"<bound method Series.ge of gname                SLC29A3
gene_id          XLOC_005858
isoform_id    TCONS_00040531
oId                PB.2253.6
cc                         c
dIF                  -0.2036
is_sw                   True
ge                 25.119019
v1                  5.733696
v2                  1.625789
IF1                 0.372633
IF2                 0.169033
Name: 82, dtype: object>",True,False,False,True,False,3727,0,False,5,6,c,=,pure_promoter_switch
SLC43A2,TCONS_00128134,TCONS_00128136,0.1561,-0.1065,"<bound method Series.ge of gname                    SLC43A2
gene_id              XLOC_022990
isoform_id        TCONS_00128134
oId           ENST00000301335.10
cc                             =
dIF                       0.1561
is_sw                       True
ge                     42.932298
v1                      1.859614
v2                      9.362258
IF1                     0.149667
IF2                     0.305767
Name: 206, dtype: object>",True,True,True,True,False,23749,6233,False,14,10,=,=,promoter_plus_internal
SNX10,TCONS_00277254,TCONS_00266425,0.205166666666667,-0.0460666666666667,"<bound method Series.ge of gname                  SNX10
gene_id          XLOC_047626
isoform_id    TCONS_00277254
oId               PB.17180.3
cc                         j
dIF                 0.205167
is_sw                   True
ge                 62.787625
v1                    2.4214
v2                  9.195532
IF1                 0.083267
IF2                 0.288433
Name: 363, dtype: object>",True,True,True,True,False,69017,67,False,5,7,j,=,promoter_plus_internal
SPECC1L,TCONS_00196541,TCONS_00200920,-0.307266666666667,0.143333333333333,"<bound method Series.ge of gname                   SPECC1L
gene_id             XLOC_034870
isoform_id       TCONS_00196541
oId           ENST00000437398.5
cc                            =
dIF                   -0.307267
is_sw                      True
ge                   130.394365
v1                     7.286481
v2                     8.026828
IF1                    0.381767
IF2                      0.0745
Name: 263, dtype: object>",True,True,True,True,True,162600,24612,False,16,2,=,c,promoter_plus_internal
