topic,claim,first_author,year,journal,doi_or_pmid,relevance_note
AS in TLR/LPS signalling,NF-kB mediates LPS-induced alternative pre-mRNA splicing of MyD88 in mouse macrophages.,Lee FFY,2020,Journal of Biological Chemistry,10.1074/jbc.RA119.011495,"Shows the splicing response is downstream of, and coupled to, the signalling response - relevant to interpreting reduced splicing amplitude in a KO."
AS in TLR/LPS signalling,"SRSF1 and HNRNPU binding to MyD88 pre-mRNA is regulated by LPS, LPS exposure decreases SRSF1 expression, and both proteins regulate the extent of the innate immune response.",Lee FFY,2024,Journal of Molecular Biology,10.1016/j.jmb.2024.168497,Named trans-acting factors for LPS-responsive splicing in macrophages.
AS in TLR/LPS signalling,The splicing factor hnRNP M represses innate immune gene expression; mutating specific hnRNP M serines barely affects splicing of housekeeping transcripts in resting macrophages but strongly impairs its ability to dampen induction of innate immune transcripts after pathogen sensing.,West KO,2019,Cell Reports,10.1016/j.celrep.2019.09.078,CLOSEST PUBLISHED ANALOGUE to this dataset's central phenotype: a splicing regulator whose function is dispensable at baseline and required only upon stimulation. Direction is opposite (loss causes hyperinduction).
AS in TLR/LPS signalling,"Knockdown of ten SR/hnRNP proteins in RAW264.7 macrophages showed that these factors influence different genes, and drive differential isoform usage for thousands of transcripts, in uninfected versus Salmonella-infected cells.",Wagner AR,2021,Frontiers in Immunology,10.3389/fimmu.2021.656885,Direct precedent for condition-specific splicing-factor function - a splicing regulator's targets are not the same before and after stimulation.
AS in TLR/LPS signalling,"Kinetic analysis of chromatin, nucleoplasmic and cytoplasmic RNA fractions in LPS-stimulated macrophages shows the inflammatory response is governed primarily at transcription initiation, with intron-containing full-length nascent transcripts accumulating on chromatin before release.",Bhatt DM,2012,Cell,10.1016/j.cell.2012.05.043,Sets the expectation that induced inflammatory genes are dominated by transcriptional control - relevant to why an isoform-composition deficit could spare them.
AS in TLR/LPS signalling,"For a subset of Lipid A-responsive genes, ligation of certain exon pairs is delayed relative to synthesis of the complete transcript, so splicing kinetics and chromatin release limit the rate of induced gene expression.",Pandya-Jones A,2013,RNA,10.1261/rna.039081.113,Shows splicing IS rate-limiting for a subset of induced genes - a counterweight to the 'transcription-only' reading of Bhatt 2012.
AS in TLR/LPS signalling,"About 50% of splicing changes after LPS activation in both human and murine macrophages are alternative first exon events, including an unannotated iron-regulated AFE isoform of Aim2.",Robinson EK,2021,eLife,10.7554/eLife.69431,"Important methodological warning: much of the macrophage 'splicing' response is promoter/first-exon usage, which IsoformSwitchAnalyzeR will score as isoform switching."
AS in TLR/LPS signalling,"Macrophage development and activation involve coordinated intron retention in key inflammatory regulators, identified by combined short-read, Nanopore and proteomic analysis.",Green ID,2020,Nucleic Acids Research,10.1093/nar/gkaa435,"Intron retention is a major, regulated component of the macrophage transcriptome - the same event class most sensitive to UBL5 loss (Oka 2014)."
AS in TLR/LPS signalling,"Human but not mouse NLRP3 is expressed as two major isoforms, full length and one lacking exon 5; the delta-exon-5 isoform lacks the NEK7 interaction surface and is inactive, and this alternative splicing is stochastically regulated. Demonstrated in primary human monocyte-derived macrophages and THP-1 cells.",Hoss F,2019,Nature Communications,10.1038/s41467-019-11076-1,"Human-macrophage, THP-1-inclusive precedent for a functionally consequential isoform switch in an innate immune sensor."
AS in TLR/LPS signalling,SRSF3 is upregulated in LPS-stimulated RAW264.7 macrophages; SRSF3 knockdown suppresses inflammatory cytokines and increases the short MD2B splice variant of the TLR4 co-receptor MD2.,Fu Y,2024,Current Issues in Molecular Biology,10.3390/cimb46060372,Another SR protein tied to LPS response through a specific splicing target.
AS in TLR/LPS signalling,A naturally occurring soluble form of mouse TLR4 (smTLR4) arising from an alternative exon inhibits LPS signalling; LPS induces its production in RAW264.7 macrophages.,Iwami K,2000,Journal of Immunology,10.4049/jimmunol.165.12.6682,Origin of the soluble TLR4 isoform claim. NOTE: mouse; no direct human homologue of that exon.
AS in TLR/LPS signalling,A human MD-2 splice variant negatively regulates LPS-induced TLR4 signalling.,Gray P,2010,Journal of Immunology,10.4049/jimmunol.0903543,Human evidence for a dominant-negative splice isoform at the LPS receptor complex.
AS in TLR/LPS signalling,A novel IRAK1 splice variant (IRAK1c) plays a negative regulatory role in Toll/IL-1R-induced inflammatory signalling.,Rao N,2005,Molecular and Cellular Biology,10.1128/MCB.25.15.6521-6532.2005,IRAK-family splice-variant precedent.
AS in TLR/LPS signalling,"Transcriptome-wide analysis of LPS-stimulated human PBMCs from three donors identified 490 differentially expressed genes and differential alternative splicing affecting TLR signalling, PI3K/AKT signalling and pro-inflammatory macrophage polarisation.",Chavez-Iglesias E,2025,bioRxiv (PREPRINT),10.1101/2025.11.09.687437,"PREPRINT, not peer reviewed. Closest published design to this dataset (human, LPS, transcriptome-wide AS). Use only as a directional comparison."
Candidate genes - IRAK3,IRAK-M (IRAK3) is a negative regulator of TLR signalling that prevents dissociation of IRAK1/IRAK4 from MyD88 and formation of the IRAK-TRAF6 complex; it is induced by TLR stimulation.,Kobayashi K,2002,Cell,10.1016/S0092-8674(02)00827-9,Establishes IRAK3 as an LPS-inducible brake; expected to be strongly LPS-responsive in this dataset.
Candidate genes - IRAK3,"Review: IRAK-M/IRAK3 is a pseudokinase and negative regulator; in humans its expression is restricted to the myeloid lineage, and it represses NF-kB and MAPK by several mechanisms.",Pereira M,2023,Frontiers in Immunology,10.3389/fimmu.2023.1133354,"Current synthesis of IRAK biology, including isoform-level differences within the family."
Candidate genes - IRAK3,"RefSeq annotation records that alternative splicing of IRAK3 produces multiple transcript variants, including a variant with a deletion of residues 45-105 (death domain region). No published functional characterisation of a distinct or dominant-negative human IRAK3 splice isoform was retrieved.",(RefSeq/database annotation),2010,NCBI Gene / RefSeq annotation,NCBI Gene ID 11213,GAP. IRAK3 alternative isoforms are ANNOTATED but functionally UNSTUDIED in human. A characterised IRAK3 switch would be novel - and unsupported by prior work.
Candidate genes - IRAK3,"In rainbow trout, at least two genes encode many irak3 splice variants; overexpressed full-length and truncated variants had only modest and non-dose-dependent effects on TLR-stimulated NF-kB activity, though one C-terminal-domain variant quenched IL-1beta and IL-8 production.",Rebl A,2019,Frontiers in Immunology,10.3389/fimmu.2019.02246,"The only systematic functional test of IRAK3 splice variants retrieved - and it is TELEOST, and largely NEGATIVE. Argues against assuming a dominant-negative IRAK3 isoform."
Candidate genes - RAB7B,"Rab7b is a lysosome-associated small GTPase that negatively regulates TLR4 signalling in macrophages by promoting lysosomal degradation of TLR4, suppressing LPS-induced TNF-alpha, IL-6, NO and IFN-beta.",Wang Y,2007,Blood,10.1182/blood-2007-01-066027,Strong prior for RAB7B being LPS-relevant in macrophages. Isoform-level function is NOT addressed.
Candidate genes - RAB7B,Rab7b also suppresses TLR9-initiated proinflammatory cytokine and type I IFN production by promoting TLR9 lysosomal degradation; TLR9 ligation inhibits Rab7b expression via ERK and p38.,Yao M,2009,Journal of Immunology,10.4049/jimmunol.0900249,Extends RAB7B to a general receptor-degradation brake. No documented functionally distinct RAB7B splice isoform was found.
Candidate genes - SOCS4,"SOCS4-deficient mice succumb rapidly to pathogenic H1N1 influenza with dysregulated pulmonary cytokine and chemokine production, delayed viral clearance and impaired trafficking of virus-specific CD8 T cells; this was the first functional phenotype reported for SOCS4.",Kedzierski L,2014,PLoS Pathogens,10.1371/journal.ppat.1004134,"Establishes SOCS4 as immunologically real but poorly characterised. No isoform-level literature retrieved; note the phenotype is largely T-cell, not macrophage-intrinsic."
Candidate genes - SPRING1/C12orf49,"Haploid genetic screens identified SPRING/C12ORF49 as a Golgi-resident determinant of SREBP signalling; its loss reduces SCAP levels and mislocalises SCAP, attenuating SREBP-dependent lipid and cholesterol gene programmes. Spring deletion is embryonic lethal in mice.",Loregger A,2020,Nature Communications,10.1038/s41467-020-14811-1,Defines SPRING1 function. Relevant because LPS reprograms macrophage lipid metabolism - but no immune or isoform-level SPRING1 literature exists.
Candidate genes - SPRING1/C12orf49,Metabolic coessentiality mapping independently identified C12orf49 as a regulator of SREBP processing and cholesterol metabolism.,Bayraktar EC,2020,Nature Metabolism,10.1038/s42255-020-0206-9,Independent replication of SPRING1 function.
Candidate genes - SPRING1/C12orf49,POST1/C12ORF49 promotes maturation of site-1 protease (S1P); its ablation decreases nuclear SREBP generation and SREBP target gene expression.,Xiao J,2020,Protein & Cell,10.1007/s13238-020-00753-3,Mechanistic refinement (S1P maturation). Still no isoform-level or immune data.
Candidate genes - PLD6,"PLD6/MitoPLD is anchored in the mitochondrial outer membrane, hydrolyses cardiolipin to phosphatidic acid to drive mitochondrial fusion, and also has single-strand-specific nuclease activity in piRNA biogenesis; interaction with Mitoguardin shifts it between lipase and nuclease modes.",Frohman MA,2015,Trends in Pharmacological Sciences,10.1016/j.tips.2015.01.001,Function is mitochondrial-dynamics and germline piRNA. No documented innate-immune or isoform-level role - flagged as weak candidate.
Candidate genes - other,"No published characterisation of functionally distinct alternative isoforms was retrieved for RAB7B, SOCS4, SPRING1/C12orf49, IPCEF1, ATRN, PLD6, SAMD14 or CTTNBP2NL. SP1 and LIG1 have annotated variants but no macrophage isoform-function literature was found.",(no source - negative result),2026,(literature gap),n/a,EXPLICIT GAP. For these genes an isoform switch in this dataset would be a novel observation with no prior functional anchor.
Methods - dIF/PSI at low expression,"PSI is a ratio of reads supporting inclusion to all reads spanning an event, so at low read support PSI estimates become highly variable; unlike expression, splicing ratios cannot be imputed as zeros.",Jiang Q,2026,iScience,10.1016/j.isci.2026.116090,States the core statistical problem behind an expression floor on ratio statistics. Framed for single-cell but the mathematics is identical for low-abundance bulk genes.
Methods - dIF/PSI at low expression,"Beta distributions modelled from inclusion and exclusion read counts give PSI estimates whose width narrows as coverage rises, making the precision of a PSI value explicit rather than relying on context-independent predefined cutoffs.",Ascensao-Ferreira M,2024,RNA,10.1261/rna.079764.123,Directly supports this project's coverage-dependent floor and argues for coverage-aware uncertainty over a fixed dIF cutoff.
Methods - dIF/PSI at low expression,"Robust PSI estimation requires an explicit measure of estimate uncertainty because position-specific bias can dramatically influence estimates, particularly for transcripts with minimal coverage.",Kakaradov B,2012,BMC Bioinformatics,10.1186/1471-2105-13-S6-S11,"Early, still-valid statement of PSI uncertainty at low coverage."
Methods - DTU statistics,"Benchmark of DTU tools after Salmon quantification; filtering out lowly expressed genes and transcripts is applied before testing because such features have too little power for DTU, and stage-wise testing with stageR is recommended for gene-then-transcript inference.",Love MI,2018,F1000Research,10.12688/f1000research.15398.1,The standard reference workflow. Justifies pre-filtering by expression before DTU testing.
Methods - DTU statistics,DRIMSeq models transcript counts with a Dirichlet-multinomial and provides a likelihood-ratio test for differences in relative transcript abundance profiles.,Nowicka M,2016,F1000Research,10.12688/f1000research.8900.1,The test underlying IsoformSwitchAnalyzeR's DEXSeq/DRIMSeq options.
Methods - DTU statistics,"In simulated bulk data, DEXSeq and DoubleExpSeq had the highest performance and satuRn performed on par with them, while DRIMSeq's performance varied strongly between datasets and most methods, DRIMSeq in particular, failed to control FDR at nominal levels.",Gilis J,2022,F1000Research,10.12688/f1000research.51749.2,Direct guidance: prefer DEXSeq or satuRn over DRIMSeq for FDR control - and treat nominal FDR with suspicion at small n.
Methods - DTU statistics,"Comprehensive DTU benchmark for bulk and single-cell RNA-seq: performance of all tools improves with eight replicates; edgeR and DRIMSeq achieved low FDR across DTU event types, while satuRn and DEXSeq maintained low FDR with higher recall in some scenarios.",Lio CT,2025,NAR Genomics and Bioinformatics,10.1093/nargab/lqaf117,Most recent benchmark. Its replicate-count finding is the key caveat for an n=3 design.
Methods - DTU statistics,"Earlier benchmarking reported that SUPPA2 and RATs always controlled FDR but had consistently low sensitivity (around 50%), whereas DRIMSeq and DEXSeq had higher sensitivity while sometimes exceeding their target FDR, with FDR control improving at larger sample sizes.",Erdogdu B,2024,Cell Reports Methods,10.1016/j.crmeth.2024.100736,Quantifies the sensitivity/FDR trade-off that an n=3 study is sitting on.
Methods - DTU statistics,"A compositional measurement-error regression approach (CompDTU/CompDTUme) incorporates quantification uncertainty from bootstrap replicates into DTU testing, improving sensitivity and specificity relative to RATs, DRIMSeq, DEXSeq and SUPPA2 and reducing FPR relative to DRIMSeq.",Young AM,2023,Biostatistics,10.1093/biostatistics/kxad008,Argues that Salmon/kallisto inferential replicates should be propagated into DTU testing - relevant given this project's abundance-floor concerns.
Methods - DTU statistics,"SUPPA2 provides fast, uncertainty-aware differential splicing analysis across multiple conditions by exploiting biological variability between replicates.",Trincado JL,2018,Genome Biology,10.1186/s13059-018-1417-1,Alternative event-level approach; lower sensitivity per the benchmarks above.
Methods - isoform switching,"IsoformSwitchAnalyzeR identifies isoform switches and predicts their functional consequences genome-wide, including changes in specific alternative splicing categories.",Vitting-Seerup K,2019,Bioinformatics,10.1093/bioinformatics/btz247,The tool used in this project.
Methods - isoform switching,"Across >5,500 TCGA patients in 12 solid cancer types, isoform switches with predicted functional consequences affected approximately 19% (N=2,352) of multi-isoform genes.",Vitting-Seerup K,2017,Molecular Cancer Research,10.1158/1541-7786.MCR-16-0459,"IMPORTANT: the numerical similarity to this dataset's ~19.5% cryptic switchers is COINCIDENTAL - that figure is the fraction of multi-isoform genes with consequential switches, not the fraction of switching genes lacking gene-level change. Do not equate them."
Methods - long reads,"LRGASP consortium benchmark: libraries with longer, more accurate reads produce more accurate transcript models while greater read depth improves quantification accuracy; reference-based tools performed best in well-annotated genomes; detecting novel transcripts was harder than recovering annotated ones, and quantifying complex and lowly expressed transcripts remained challenging.",Pardo-Palacios FJ,2024,Nature Methods,10.1038/s41592-024-02298-3,"Supports the PacBio-augmented design (long reads for annotation, short reads for quantification) and warns that novel, lowly expressed models are the least reliable."
Methods - long reads,"Short and long reads gave comparable gene-level expression estimates but differed substantially for individual isoforms; several novel transcripts discovered by long reads participated in cell-line-specific isoform switching events, showing that long reads change which switches are detectable even in a well-annotated genome.",Chen Y,2025,Nature Methods,10.1038/s41592-025-02623-4,DIRECT support that a long-read-augmented reference changes isoform-switch calls; also the caution that isoform-level (not gene-level) estimates are where references matter.
Spliceosome perturbation and stimulus responses,"siRNA knockdown of SF3B1 in HeLa cells reduced heat-shock induction of HSPA6 to 18% and DNAJB1 to 31% of control, nearly as severe as knocking down HSF1 itself; SF3B1 regulates both HSF1 concentration and activity.",Kim Guisbert KS,2017,PLOS ONE,10.1371/journal.pone.0176382,STRONGEST published precedent for the general phenomenon: perturbing a core spliceosome component blunts the AMPLITUDE of an inducible stress response while cells remain viable.
Spliceosome perturbation and stimulus responses,"Titrating SF3B1 activity with different pladienolide B concentrations produces distinct, dose-dependent effects on the transcriptome and cell physiology rather than a single all-or-nothing splicing failure.",Kim Guisbert KS,2020,International Journal of Molecular Sciences,10.3390/ijms21249641,"Supports a graded, partial-loss model - relevant to a KO that retains 38% of the splicing response rather than none."
Spliceosome perturbation and stimulus responses,"Pharmacological modulation of SF3B1 with pladienolide B induces aberrant RNA species and a robust type I interferon response through RIG-I and IRF3, and synergises with canonical RIG-I agonism.",Chang AY,2021,Journal of Biological Chemistry,10.1016/j.jbc.2021.101277,"CONTRADICTS a naive expectation: spliceosome perturbation can ACTIVATE interferon signalling. If this dataset's KO shows no baseline IFN elevation, that is evidence against gross spliceosome dysfunction."
Spliceosome perturbation and stimulus responses,"Detained introns are a widespread class of post-transcriptionally spliced introns whose completion is regulated, providing a reservoir of transcripts poised for rapid maturation.",Boutz PL,2015,Genes & Development,10.1101/gad.247361.114,Mechanistic route by which a splicing-efficiency deficit could blunt the SPEED and AMPLITUDE of an induced response without changing steady state.
Spliceosome perturbation and stimulus responses,"IRAK2 directs stimulus-dependent nuclear export of inflammatory mRNAs, showing that post-transcriptional RNA handling of induced transcripts is itself under signal control.",Zhou H,2017,eLife,10.7554/eLife.29630,Supporting context that inducible responses have a substantial post-transcriptional layer that a KO could degrade.
