gene,isoform,partner,dIF,partner_dIF,gene_expression,first_exon_differs,last_exon_differs,internal_junction_differs,first_exons_disjoint,last_exons_disjoint,tss_distance_bp,tes_distance_bp,same_tss_id,n_exons_sw,n_exons_partner,cc_sw,cc_partner,novel,event_class
CLN8,TCONS_00280303,TCONS_00280307,-0.1598,0.104333333333333,"<bound method Series.ge of gname                      CLN8
gene_id             XLOC_050251
isoform_id       TCONS_00280303
oId           ENST00000331222.6
cc                            =
dIF                     -0.1598
is_sw                      True
ge                    31.823278
v1                     8.993386
v2                     4.505776
IF1                    0.491733
IF2                    0.331933
Name: 857, dtype: object>",True,True,False,False,False,26,3889,True,3,4,=,=,False,terminal_other
CNOT6L,TCONS_00229020,TCONS_00229023,-0.165766666666667,0.0764,"<bound method Series.ge of gname                    CNOT6L
gene_id             XLOC_040823
isoform_id       TCONS_00229020
oId           ENST00000504123.7
cc                            =
dIF                   -0.165767
is_sw                      True
ge                    47.873269
v1                     6.534582
v2                     4.631672
IF1                    0.331633
IF2                    0.165867
Name: 706, dtype: object>",True,True,False,True,False,247,6843,False,12,12,=,=,False,terminal_other
CTTNBP2NL,TCONS_00005889,TCONS_00022417,-0.194233333333333,0.147766666666667,"<bound method Series.ge of gname                  CTTNBP2NL
gene_id              XLOC_001303
isoform_id        TCONS_00005889
oId           ENST00000271277.11
cc                             =
dIF                    -0.194233
is_sw                       True
ge                     19.061631
v1                      9.213098
v2                      6.924884
IF1                       0.9419
IF2                     0.747667
Name: 3, dtype: object>",True,True,True,True,False,52749,936,False,6,4,=,j,False,promoter_plus_internal
DCUN1D4,TCONS_00232825,TCONS_00223507,0.1706,-0.1404,"<bound method Series.ge of gname                DCUN1D4
gene_id          XLOC_039304
isoform_id    TCONS_00232825
oId                PB.9433.7
cc                         c
dIF                   0.1706
is_sw                   True
ge                  26.34218
v1                  0.081539
v2                  2.545218
IF1                   0.0073
IF2                   0.1779
Name: 700, dtype: object>",True,True,False,True,False,20390,2029,False,10,11,c,=,True,pure_promoter_switch
DDX58,TCONS_00298241,TCONS_00302892,-0.177166666666667,0.182833333333333,"<bound method Series.ge of gname                     DDX58
gene_id             XLOC_054002
isoform_id       TCONS_00298241
oId           ENST00000360538.7
cc                            =
dIF                   -0.177167
is_sw                      True
ge                   248.150405
v1                      3.84181
v2                     5.418774
IF1                      0.2022
IF2                    0.025033
Name: 891, dtype: object>",True,True,True,True,True,26390,74180,False,3,16,=,c,False,promoter_plus_internal
DDX58,TCONS_00302251,TCONS_00302892,-0.2854,0.182833333333333,"<bound method Series.ge of gname                  DDX58
gene_id          XLOC_054002
isoform_id    TCONS_00302251
oId               PB.16261.1
cc                         c
dIF                  -0.2854
is_sw                   True
ge                248.150405
v1                  6.044543
v2                  7.692562
IF1                   0.3198
IF2                   0.0344
Name: 892, dtype: object>",True,True,True,True,True,24686,74185,False,2,16,c,c,True,promoter_plus_internal
DDX58,TCONS_00302892,TCONS_00302251,0.182833333333333,-0.2854,"<bound method Series.ge of gname                  DDX58
gene_id          XLOC_054002
isoform_id    TCONS_00302892
oId              PB.12666.37
cc                         c
dIF                 0.182833
is_sw                   True
ge                248.150405
v1                  2.404442
v2                 70.631298
IF1                 0.124433
IF2                 0.307267
Name: 905, dtype: object>",True,True,True,True,True,24686,74185,False,16,2,c,c,True,promoter_plus_internal
DGKA,TCONS_00074808,TCONS_00064382,-0.186933333333333,0.137233333333333,"<bound method Series.ge of gname                   DGKA
gene_id          XLOC_011376
isoform_id    TCONS_00074808
oId                PB.3879.2
cc                         j
dIF                -0.186933
is_sw                   True
ge                 13.937765
v1                  2.139913
v2                  0.417326
IF1                 0.262267
IF2                 0.075333
Name: 221, dtype: object>",True,True,True,True,True,20900,572,False,24,3,j,=,True,promoter_plus_internal
DIRAS1,TCONS_00151548,TCONS_00151557,-0.1556,0.0697333333333333,"<bound method Series.ge of gname                    DIRAS1
gene_id             XLOC_027043
isoform_id       TCONS_00151548
oId           ENST00000323469.5
cc                            =
dIF                     -0.1556
is_sw                      True
ge                    97.014337
v1                    22.104309
v2                     5.581263
IF1                    0.335467
IF2                    0.179867
Name: 455, dtype: object>",True,True,False,True,True,18656,19957,False,2,2,=,=,False,pure_promoter_switch
EHBP1,TCONS_00162256,TCONS_00181432,-0.1514,0.0426666666666667,"<bound method Series.ge of gname                  EHBP1
gene_id          XLOC_028734
isoform_id    TCONS_00162256
oId                PB.9603.4
cc                         =
dIF                  -0.1514
is_sw                   True
ge                 23.569112
v1                  4.393644
v2                  2.532447
IF1                 0.365433
IF2                 0.214033
Name: 496, dtype: object>",True,True,True,True,False,7488,1,False,2,4,=,c,False,promoter_plus_internal
ELMOD2,TCONS_00233621,TCONS_00225811,0.1997,-0.1508,"<bound method Series.ge of gname                 ELMOD2
gene_id          XLOC_039900
isoform_id    TCONS_00233621
oId               PB.13573.2
cc                         j
dIF                   0.1997
is_sw                   True
ge                 17.130682
v1                  1.594268
v2                  2.442786
IF1                 0.155633
IF2                 0.355333
Name: 703, dtype: object>",True,True,False,False,True,4,9960,True,9,9,j,=,True,terminal_other
EVI2B,TCONS_00130429,TCONS_00130437,0.153266666666667,-0.0942,"<bound method Series.ge of gname                  EVI2B
gene_id          XLOC_023485
isoform_id    TCONS_00130429
oId                PB.6911.1
cc                         =
dIF                 0.153267
is_sw                   True
ge                 152.31277
v1                 54.143509
v2                  20.90537
IF1                 0.458033
IF2                   0.6113
Name: 375, dtype: object>",True,True,False,True,True,7696,13863,False,2,3,=,=,False,pure_promoter_switch
FAM53B,TCONS_00040098,TCONS_00041036,-0.192366666666667,0.0992000000000001,"<bound method Series.ge of gname                    FAM53B
gene_id             XLOC_007468
isoform_id       TCONS_00040098
oId           ENST00000337318.8
cc                            =
dIF                   -0.192367
is_sw                      True
ge                    20.990312
v1                     5.438644
v2                     1.775245
IF1                    0.416733
IF2                    0.224367
Name: 140, dtype: object>",True,True,True,True,True,45919,140814,False,5,5,=,c,False,promoter_plus_internal
FSD1L,TCONS_00302748,TCONS_00295705,0.1978,-0.0527333333333333,"<bound method Series.ge of gname                  FSD1L
gene_id          XLOC_053451
isoform_id    TCONS_00302748
oId               PB.12903.3
cc                         j
dIF                   0.1978
is_sw                   True
ge                 29.119171
v1                       0.0
v2                  5.405969
IF1                      0.0
IF2                   0.1978
Name: 875, dtype: object>",True,True,True,True,False,52529,2301,False,9,14,j,=,True,promoter_plus_internal
FUT7,TCONS_00301571,TCONS_00301574,-0.157266666666667,0.135166666666667,"<bound method Series.ge of gname                      FUT7
gene_id             XLOC_054896
isoform_id       TCONS_00301571
oId           ENST00000314412.7
cc                            =
dIF                   -0.157267
is_sw                      True
ge                   219.950546
v1                    26.802399
v2                     4.701495
IF1                    0.208533
IF2                    0.051267
Name: 909, dtype: object>",True,True,True,True,True,14089,9289,False,2,9,=,=,False,promoter_plus_internal
GALM,TCONS_00161536,TCONS_00181352,-0.161966666666667,0.0942333333333333,"<bound method Series.ge of gname                   GALM
gene_id          XLOC_028564
isoform_id    TCONS_00161536
oId                PB.8851.5
cc                         =
dIF                -0.161967
is_sw                   True
ge                   49.9914
v1                 29.325051
v2                 10.015733
IF1                 0.837033
IF2                 0.675067
Name: 484, dtype: object>",True,True,True,True,False,15189,1069,False,7,5,=,c,False,promoter_plus_internal
GBP1,TCONS_00015631,TCONS_00024108,-0.185066666666667,0.0826666666666667,"<bound method Series.ge of gname                   GBP1
gene_id          XLOC_003727
isoform_id    TCONS_00015631
oId                PB.833.18
cc                         =
dIF                -0.185067
is_sw                   True
ge                135.738601
v1                 12.645799
v2                 38.198974
IF1                 0.531133
IF2                 0.346067
Name: 61, dtype: object>",True,False,False,True,False,2240,0,False,11,10,=,c,False,pure_promoter_switch
GFPT2,TCONS_00246280,TCONS_00247542,0.279833333333333,-0.179,"<bound method Series.ge of gname                      GFPT2
gene_id              XLOC_044425
isoform_id        TCONS_00246280
oId           ENST00000253778.13
cc                             =
dIF                     0.279833
is_sw                       True
ge                       24.1294
v1                      0.401135
v2                     13.013453
IF1                     0.291633
IF2                     0.571467
Name: 750, dtype: object>",True,True,True,True,False,39476,2,False,19,6,=,c,False,promoter_plus_internal
GFPT2,TCONS_00247542,TCONS_00246280,-0.179,0.279833333333333,"<bound method Series.ge of gname                  GFPT2
gene_id          XLOC_044425
isoform_id    TCONS_00247542
oId               PB.13489.2
cc                         c
dIF                   -0.179
is_sw                   True
ge                   24.1294
v1                  0.729551
v2                  8.549708
IF1                   0.5539
IF2                   0.3749
Name: 751, dtype: object>",True,True,True,True,False,39476,2,False,6,19,c,=,True,promoter_plus_internal
HACD4,TCONS_00302243,TCONS_00302242,0.154633333333333,-0.164033333333333,"<bound method Series.ge of gname                  HACD4
gene_id          XLOC_053931
isoform_id    TCONS_00302243
oId               PB.16243.4
cc                         j
dIF                 0.154633
is_sw                   True
ge                 50.030373
v1                 10.302946
v2                  9.887907
IF1                   0.3409
IF2                 0.495533
Name: 882, dtype: object>",False,True,True,False,False,0,95,True,9,6,j,j,True,internal_splicing_only
HERPUD2-AS1,TCONS_00266850,TCONS_00278793,0.1844,-0.1176,"<bound method Series.ge of gname               HERPUD2-AS1
gene_id             XLOC_047710
isoform_id       TCONS_00266850
oId           ENST00000605778.1
cc                            =
dIF                      0.1844
is_sw                      True
ge                    23.330613
v1                     6.403714
v2                     5.357664
IF1                    0.433367
IF2                    0.617767
Name: 816, dtype: object>",True,True,False,False,False,3701,6,False,1,1,=,c,False,terminal_other
HESX1,TCONS_00220659,TCONS_00212766,-0.226833333333333,0.1699,"<bound method Series.ge of gname                  HESX1
gene_id          XLOC_037864
isoform_id    TCONS_00220659
oId               PB.12115.2
cc                         j
dIF                -0.226833
is_sw                   True
ge                 13.024891
v1                  0.352321
v2                   0.38226
IF1                 0.261667
IF2                 0.034833
Name: 690, dtype: object>",True,True,True,False,True,1112,865,False,5,3,j,=,True,internal_splicing_only
HLA-DMB,TCONS_00257205,TCONS_00263067,0.1825,-0.0435666666666667,"<bound method Series.ge of gname                   HLA-DMB
gene_id             XLOC_046393
isoform_id       TCONS_00257205
oId           ENST00000374843.9
cc                            =
dIF                      0.1825
is_sw                      True
ge                    21.078739
v1                     5.677607
v2                      6.36824
IF1                    0.490033
IF2                    0.672533
Name: 787, dtype: object>",True,True,False,False,False,3,3,True,5,5,=,j,False,terminal_other
HS1BP3,TCONS_00170151,TCONS_00182214,-0.211666666666667,0.125766666666667,"<bound method Series.ge of gname                    HS1BP3
gene_id             XLOC_030459
isoform_id       TCONS_00170151
oId           ENST00000304031.8
cc                            =
dIF                   -0.211667
is_sw                      True
ge                    26.455573
v1                     13.60481
v2                     4.395687
IF1                      0.7455
IF2                    0.533833
Name: 513, dtype: object>",True,True,False,False,True,6,4364,True,7,7,=,j,False,terminal_other
IFITM2,TCONS_00042948,TCONS_00042913,0.289466666666667,-0.112233333333333,"<bound method Series.ge of gname                 IFITM2
gene_id          XLOC_007559
isoform_id    TCONS_00042948
oId                PB.3070.1
cc                         =
dIF                 0.289467
is_sw                   True
ge                391.165016
v1                  6.336072
v2                 84.837777
IF1                 0.045467
IF2                 0.334933
Name: 163, dtype: object>",True,True,False,True,True,5884,5892,False,2,3,=,=,False,pure_promoter_switch
IL23A,TCONS_00064570,TCONS_00078058,0.313633333333333,-0.2108,"<bound method Series.ge of gname                  IL23A
gene_id          XLOC_011393
isoform_id    TCONS_00064570
oId                PB.4584.2
cc                         =
dIF                 0.313633
is_sw                   True
ge                287.421346
v1                  5.441557
v2                223.844421
IF1                 0.497567
IF2                   0.8112
Name: 224, dtype: object>",True,False,False,True,False,1900,0,False,4,4,=,j,False,pure_promoter_switch
IL23A,TCONS_00078058,TCONS_00064570,-0.2108,0.313633333333333,"<bound method Series.ge of gname                  IL23A
gene_id          XLOC_011393
isoform_id    TCONS_00078058
oId                PB.4584.1
cc                         j
dIF                  -0.2108
is_sw                   True
ge                287.421346
v1                  2.139816
v2                  1.187816
IF1                 0.215367
IF2                 0.004567
Name: 226, dtype: object>",True,False,False,True,False,1900,0,False,4,4,j,=,True,pure_promoter_switch
IPCEF1,TCONS_00260841,TCONS_00262658,-0.275,0.192033333333333,"<bound method Series.ge of gname                    IPCEF1
gene_id             XLOC_047270
isoform_id       TCONS_00260841
oId           ENST00000367220.9
cc                            =
dIF                      -0.275
is_sw                      True
ge                    60.531512
v1                    11.201825
v2                     3.845354
IF1                    0.393267
IF2                    0.118267
Name: 794, dtype: object>",True,True,True,True,True,85427,250806,False,12,11,=,c,False,promoter_plus_internal
IPCEF1,TCONS_00260842,TCONS_00262658,-0.202766666666667,0.192033333333333,"<bound method Series.ge of gname                 IPCEF1
gene_id          XLOC_047270
isoform_id    TCONS_00260842
oId               PB.14434.2
cc                         =
dIF                -0.202767
is_sw                   True
ge                 60.531512
v1                  7.094724
v2                   1.54771
IF1                 0.251067
IF2                   0.0483
Name: 795, dtype: object>",True,True,True,True,True,85429,250798,False,12,11,=,c,False,promoter_plus_internal
IPCEF1,TCONS_00262658,TCONS_00260841,0.192033333333333,-0.275,"<bound method Series.ge of gname                 IPCEF1
gene_id          XLOC_047270
isoform_id    TCONS_00262658
oId               PB.14436.2
cc                         c
dIF                 0.192033
is_sw                   True
ge                 60.531512
v1                  1.262917
v2                  7.796868
IF1                 0.046867
IF2                   0.2389
Name: 801, dtype: object>",True,True,True,True,True,85427,250806,False,11,12,c,=,True,promoter_plus_internal
IPCEF1,TCONS_00264597,TCONS_00260841,0.1518,-0.275,"<bound method Series.ge of gname                 IPCEF1
gene_id          XLOC_047270
isoform_id    TCONS_00264597
oId               PB.15761.3
cc                         j
dIF                   0.1518
is_sw                   True
ge                 60.531512
v1                  1.484707
v2                  6.765675
IF1                   0.0558
IF2                   0.2076
Name: 803, dtype: object>",True,True,True,True,True,121691,250812,False,13,12,j,=,True,promoter_plus_internal
IRAK3,TCONS_00065141,TCONS_00078099,-0.238166666666667,0.1746,"<bound method Series.ge of gname                     IRAK3
gene_id             XLOC_011494
isoform_id       TCONS_00065141
oId           ENST00000261233.9
cc                            =
dIF                   -0.238167
is_sw                      True
ge                    14.142512
v1                     6.139094
v2                     4.157295
IF1                    0.845767
IF2                      0.6076
Name: 231, dtype: object>",True,True,True,True,False,55761,5986,False,12,3,=,c,False,promoter_plus_internal
ITSN1,TCONS_00194960,TCONS_00192563,-0.159733333333333,0.0899,"<bound method Series.ge of gname                  ITSN1
gene_id          XLOC_033961
isoform_id    TCONS_00194960
oId               PB.10384.1
cc                         c
dIF                -0.159733
is_sw                   True
ge                 13.262269
v1                  2.524737
v2                   1.21426
IF1                   0.3545
IF2                 0.194767
Name: 566, dtype: object>",True,True,True,True,True,2493,20759,False,12,5,c,=,True,promoter_plus_internal
JDP2,TCONS_00094524,TCONS_00087647,0.2357,-0.175933333333333,"<bound method Series.ge of gname                   JDP2
gene_id          XLOC_015706
isoform_id    TCONS_00094524
oId                PB.6034.1
cc                         c
dIF                   0.2357
is_sw                   True
ge                137.454701
v1                  3.416602
v2                 23.265758
IF1                   0.0578
IF2                   0.2935
Name: 301, dtype: object>",True,True,True,True,True,5761,23614,False,2,4,c,=,True,promoter_plus_internal
KDM6B,TCONS_00122000,TCONS_00122005,-0.194033333333333,0.303933333333333,"<bound method Series.ge of gname                     KDM6B
gene_id             XLOC_021732
isoform_id       TCONS_00122000
oId           ENST00000448097.7
cc                            =
dIF                   -0.194033
is_sw                      True
ge                   120.676863
v1                     5.461264
v2                    21.822345
IF1                    0.398367
IF2                    0.204333
Name: 336, dtype: object>",True,True,True,True,True,9990,9824,False,24,2,=,=,False,promoter_plus_internal
KDM6B,TCONS_00122005,TCONS_00122000,0.303933333333333,-0.194033333333333,"<bound method Series.ge of gname                     KDM6B
gene_id             XLOC_021732
isoform_id       TCONS_00122005
oId           ENST00000575521.1
cc                            =
dIF                    0.303933
is_sw                      True
ge                   120.676863
v1                     5.162921
v2                    68.660491
IF1                    0.341767
IF2                      0.6457
Name: 338, dtype: object>",True,True,True,True,True,9990,9824,False,2,24,=,=,False,promoter_plus_internal
KITLG,TCONS_00072398,TCONS_00072397,0.2996,-0.252133333333333,"<bound method Series.ge of gname                     KITLG
gene_id             XLOC_013120
isoform_id       TCONS_00072398
oId           ENST00000644744.1
cc                            =
dIF                      0.2996
is_sw                      True
ge                    20.540715
v1                     3.645687
v2                    10.823972
IF1                    0.509733
IF2                    0.809333
Name: 285, dtype: object>",True,False,True,True,False,45709,0,False,10,9,=,=,False,promoter_plus_internal
LGALS8,TCONS_00010788,TCONS_00010790,-0.168433333333333,0.0713666666666667,"<bound method Series.ge of gname                    LGALS8
gene_id             XLOC_002545
isoform_id       TCONS_00010788
oId           ENST00000366584.9
cc                            =
dIF                   -0.168433
is_sw                      True
ge                    58.155898
v1                    16.502615
v2                    15.105309
IF1                    0.639333
IF2                      0.4709
Name: 21, dtype: object>",True,True,True,False,True,3,10174,True,10,5,=,=,False,internal_splicing_only
LIG1,TCONS_00156374,TCONS_00156371,0.218666666666667,-0.0799333333333334,"<bound method Series.ge of gname                   LIG1
gene_id          XLOC_027926
isoform_id    TCONS_00156374
oId                PB.9667.2
cc                         =
dIF                 0.218667
is_sw                   True
ge                 70.518021
v1                  1.448587
v2                  8.311469
IF1                 0.038633
IF2                   0.2573
Name: 469, dtype: object>",True,True,True,True,False,52124,10,False,3,28,=,=,False,promoter_plus_internal
