gene,isoform,partner,dIF,first_exon_differs,last_exon_differs,internal_junction_differs,n_exons_sw,n_exons_partner,first_exons_disjoint,tss_distance_bp,ubl5_dependent,mode
MGAT4A,TCONS_00173596,TCONS_00173595,-0.171233333333333,True,True,True,13,16,True,67659,False,distal
MMS22L,TCONS_00259147,TCONS_00259157,-0.175433333333333,True,True,True,25,6,False,6,True,proximal
MOSMO,TCONS_00109507,TCONS_00109504,0.185433333333333,True,True,False,2,3,False,172,True,proximal
MREG,TCONS_00177118,TCONS_00177112,-0.332966666666667,True,True,True,8,5,True,68258,False,distal
MYZAP,TCONS_00098374,TCONS_00098351,0.192266666666667,True,True,True,4,13,True,114810,True,distal
NCOA7,TCONS_00254331,TCONS_00254324,0.6734,True,False,True,6,16,True,128264,False,distal
OSBPL7,TCONS_00132247,TCONS_00132252,-0.185966666666667,True,True,True,23,4,True,12679,True,distal
PEX26,TCONS_00195814,TCONS_00195819,0.155066666666667,True,True,True,4,5,True,32310,True,distal
PLD6,TCONS_00129523,TCONS_00129525,0.221833333333333,True,True,True,2,14,True,30835,True,distal
PLD6,TCONS_00129525,TCONS_00129523,-0.1794,True,True,True,14,2,True,30835,True,distal
POGLUT1,TCONS_00206349,TCONS_00206347,-0.237233333333333,False,True,True,11,10,False,0,True,proximal
PPAN-P2RY11,TCONS_00145375,TCONS_00145364,-0.1599,True,True,True,2,12,True,5331,True,distal
PRKACB,TCONS_00004798,TCONS_00004795,-0.2291,True,True,False,10,10,True,66322,True,distal
RASAL2,TCONS_00008518,TCONS_00008513,-0.1658,True,True,True,17,18,True,294906,True,distal
RBKS,TCONS_00170563,TCONS_00170566,-0.329166666666667,True,True,True,8,3,False,294,True,proximal
RBKS,TCONS_00170566,TCONS_00170563,0.4408,True,True,True,3,8,False,294,True,proximal
RGS19,TCONS_00190139,TCONS_00190138,0.2572,True,False,False,6,6,True,470,False,proximal
RIN2,TCONS_00184954,TCONS_00184955,-0.180766666666667,True,True,True,3,13,False,110,True,proximal
RIN3,TCONS_00088248,TCONS_00088253,0.261433333333333,True,True,True,10,9,True,62453,True,distal
RIN3,TCONS_00088253,TCONS_00088248,-0.2115,True,True,True,9,10,True,62453,True,distal
RPS6KA3,TCONS_00308884,TCONS_00308885,-0.164733333333333,True,False,True,22,24,False,303,True,proximal
RPUSD2,TCONS_00097387,TCONS_00097388,0.152266666666667,True,True,False,3,3,False,33,True,proximal
RSAD2,TCONS_00160356,TCONS_00160359,-0.195266666666667,True,True,False,7,6,True,11987,True,distal
RSAD2,TCONS_00160359,TCONS_00160356,0.3374,True,True,False,6,7,True,11987,True,distal
RTN4RL2,TCONS_00045493,TCONS_00045491,0.168633333333333,True,True,False,3,3,False,338,True,proximal
SAMD14,TCONS_00132520,TCONS_00132521,-0.217633333333333,True,True,True,9,7,True,6363,True,distal
SEC14L2,TCONS_00196950,TCONS_00196933,-0.1682,True,True,True,4,12,True,28750,True,distal
SHFL,TCONS_00145354,TCONS_00145353,-0.1562,True,True,True,8,7,False,20,True,proximal
SOCS4,TCONS_00086549,TCONS_00086552,0.1795,True,False,False,2,2,False,165,True,proximal
SOX5,TCONS_00069381,TCONS_00069396,-0.170966666666667,True,True,True,15,5,True,407760,True,distal
SP1,TCONS_00063992,TCONS_00063993,0.184133333333333,True,False,False,6,6,True,463,True,proximal
THAP2,TCONS_00065420,TCONS_00065424,0.4244,True,True,True,2,6,True,22114,True,distal
TIMP2,TCONS_00134513,TCONS_00134515,-0.153533333333333,True,False,False,5,5,True,51237,True,distal
TMEM63B,TCONS_00252654,TCONS_00252656,0.234633333333333,True,True,False,24,24,True,663,False,proximal
TMEM63B,TCONS_00252656,TCONS_00252654,-0.2444,True,True,False,24,24,True,663,False,proximal
TTC38,TCONS_00198173,TCONS_00198174,-0.164733333333333,True,True,True,14,3,False,32,True,proximal
UTS2,TCONS_00011940,TCONS_00011939,0.176833333333333,True,True,True,8,5,True,87408,False,distal
ZC3HAV1,TCONS_00276349,TCONS_00276350,-0.202066666666667,True,False,True,13,13,False,171,True,proximal
ZDHHC21,TCONS_00297982,TCONS_00297983,-0.162666666666667,True,True,True,10,5,False,167,True,proximal
ZNF674-AS1,TCONS_00305428,TCONS_00305426,0.169133333333333,True,True,False,2,2,True,28327,True,distal
