"isoform_id","gene_id","gene_name","dIF_n","abs_dIF","is_switching","lists","dif_rank","nested_in","is_nested","longest_unique_bp","unique_region","n_other_isoforms","assayable","verdict"
"TCONS_00160359","XLOC_028291","RSAD2",0.3374,0.3374,TRUE,"response",0.3671,,FALSE,7,"chr2:6898233-6898239",12,FALSE,"tiled over -- longest unique run 7 bp"
"TCONS_00206462","XLOC_036709","CD86",-0.435666666666667,0.435666666666667,TRUE,"cryptic+response",0.3443,,FALSE,0,,15,FALSE,"tiled over -- longest unique run 0 bp"
"TCONS_00206469","XLOC_036709","CD86",0.197666666666667,0.197666666666667,TRUE,"cryptic+response",0.3443,,FALSE,22,"chr3:122077822-122077843",15,FALSE,"tiled over -- longest unique run 22 bp"
"TCONS_00221290","XLOC_036709","CD86",0.300233333333333,0.300233333333333,TRUE,"cryptic+response",0.3443,"TCONS_00206469",TRUE,0,,15,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00181164","XLOC_032056","MREG",0.171366666666667,0.171366666666667,FALSE,"response",0.318433333333333,"TCONS_00177112",TRUE,0,,13,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00072398","XLOC_013120","KITLG",0.2996,0.2996,TRUE,"response",0.294333333333333,,FALSE,0,,5,FALSE,"tiled over -- longest unique run 0 bp"
"TCONS_00260841","XLOC_047270","IPCEF1",-0.275,0.275,TRUE,"cryptic+response",0.289966666666667,,FALSE,0,,35,FALSE,"tiled over -- longest unique run 0 bp"
"TCONS_00260842","XLOC_047270","IPCEF1",-0.202766666666667,0.202766666666667,TRUE,"cryptic+response",0.289966666666667,,FALSE,0,,35,FALSE,"tiled over -- longest unique run 0 bp"
"TCONS_00262658","XLOC_047270","IPCEF1",0.192033333333333,0.192033333333333,TRUE,"cryptic+response",0.289966666666667,"TCONS_00260854",TRUE,0,,35,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00264597","XLOC_047270","IPCEF1",0.1518,0.1518,TRUE,"cryptic+response",0.289966666666667,,FALSE,3,"chr6:154478492-154478494",35,FALSE,"tiled over -- longest unique run 3 bp"
"TCONS_00042948","XLOC_007559","IFITM2",0.289466666666667,0.289466666666667,TRUE,"response",0.289,"TCONS_00042932",TRUE,0,,52,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00298241","XLOC_054002","DDX58",-0.177166666666667,0.177166666666667,TRUE,"response",0.281966666666667,,FALSE,4,"chr9:32540544-32540547",36,FALSE,"tiled over -- longest unique run 4 bp"
"TCONS_00302251","XLOC_054002","DDX58",-0.2854,0.2854,TRUE,"response",0.281966666666667,"TCONS_00298241",TRUE,0,,36,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00302892","XLOC_054002","DDX58",0.182833333333333,0.182833333333333,TRUE,"response",0.281966666666667,"TCONS_00298231",TRUE,0,,36,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00064570","XLOC_011393","IL23A",0.313633333333333,0.313633333333333,TRUE,"response",0.2664,,FALSE,9,"chr12:56338855-56338863",10,FALSE,"tiled over -- longest unique run 9 bp"
"TCONS_00190138","XLOC_033712","RGS19",-0.209233333333333,0.209233333333333,FALSE,"response",0.262466666666667,,FALSE,0,,3,FALSE,"tiled over -- longest unique run 0 bp"
"TCONS_00088248","XLOC_015829","RIN3",0.261433333333333,0.261433333333333,TRUE,"response",0.2494,,FALSE,12,"chr14:92513781-92513792",11,FALSE,"tiled over -- longest unique run 12 bp"
"TCONS_00088253","XLOC_015829","RIN3",-0.2115,0.2115,TRUE,"response",0.2494,,FALSE,10,"chr14:92576234-92576243",11,FALSE,"tiled over -- longest unique run 10 bp"
"TCONS_00252656","XLOC_045100","TMEM63B",-0.2444,0.2444,TRUE,"response",0.2477,,FALSE,0,,11,FALSE,"tiled over -- longest unique run 0 bp"
"TCONS_00239246","XLOC_042623","ARHGAP26",-0.2461,0.2461,TRUE,"response",0.246866666666667,,FALSE,0,,61,FALSE,"tiled over -- longest unique run 0 bp"
"TCONS_00015631","XLOC_003727","GBP1",-0.185066666666667,0.185066666666667,TRUE,"response",0.239266666666667,,FALSE,0,,20,FALSE,"tiled over -- longest unique run 0 bp"
"TCONS_00078099","XLOC_011494","IRAK3",0.1746,0.1746,FALSE,"cryptic",0.238166666666667,"TCONS_00065141",TRUE,0,,8,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00314315","XLOC_057326","LINC00278",-0.241566666666667,0.241566666666667,TRUE,"response",0.235,,FALSE,0,,12,FALSE,"tiled over -- longest unique run 0 bp"
"TCONS_00130712","XLOC_023567","CCL3",-0.219833333333333,0.219833333333333,TRUE,"response",0.234666666666667,,FALSE,3,"chr17:36088253-36088255",14,FALSE,"tiled over -- longest unique run 3 bp"
"TCONS_00130722","XLOC_023567","CCL3",0.235966666666667,0.235966666666667,TRUE,"response",0.234666666666667,,FALSE,6,"chr17:36194867-36194872",14,FALSE,"tiled over -- longest unique run 6 bp"
"TCONS_00005889","XLOC_001303","CTTNBP2NL",-0.194233333333333,0.194233333333333,TRUE,"cryptic",0.221033333333333,,FALSE,2,"chr1:112396214-112396215",6,FALSE,"tiled over -- longest unique run 2 bp"
"TCONS_00077785","XLOC_013382","SPRING1",-0.187766666666667,0.187766666666667,TRUE,"cryptic",0.187766666666667,"TCONS_00073542",TRUE,0,,5,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00078614","XLOC_013382","SPRING1",0.284466666666667,0.284466666666667,FALSE,"cryptic",0.187766666666667,"TCONS_00073542",TRUE,0,,5,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00294655","XLOC_053138","CBWD3",-0.218466666666667,0.218466666666667,FALSE,"cryptic",0.175133333333333,,FALSE,35,"chr9:68241854-68241888",29,FALSE,"tiled over -- longest unique run 35 bp"
"TCONS_00232825","XLOC_039304","DCUN1D4",0.1706,0.1706,TRUE,"cryptic",0.1706,,FALSE,2,"chr4:51863435-51863436",27,FALSE,"tiled over -- longest unique run 2 bp"
"TCONS_00024217","XLOC_003879","SORT1",-0.165833333333333,0.165833333333333,TRUE,"cryptic",0.165833333333333,"TCONS_00016243",TRUE,0,,15,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00026526","XLOC_003879","SORT1",0.1516,0.1516,FALSE,"cryptic",0.165833333333333,"TCONS_00016243",TRUE,0,,15,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00059303","XLOC_010504","PCSK7",-0.1571,0.1571,TRUE,"cryptic",0.164566666666667,"TCONS_00056294",TRUE,0,,22,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00040620","XLOC_006121","R3HCC1L",0.162866666666667,0.162866666666667,TRUE,"cryptic",0.162866666666667,,FALSE,0,,13,FALSE,"tiled over -- longest unique run 0 bp"
"TCONS_00086549","XLOC_015494","SOCS4",0.1795,0.1795,TRUE,"cryptic",0.162233333333333,,FALSE,6,"chr14:55027230-55027235",5,FALSE,"tiled over -- longest unique run 6 bp"
"TCONS_00194960","XLOC_033961","ITSN1",-0.159733333333333,0.159733333333333,TRUE,"cryptic",0.159733333333333,"TCONS_00192551",TRUE,0,,33,FALSE,"nested -- no primer pair can discriminate"
"TCONS_00162256","XLOC_028734","EHBP1",-0.1514,0.1514,TRUE,"cryptic",0.1514,,FALSE,8,"chr2:63045058-63045065",29,FALSE,"tiled over -- longest unique run 8 bp"
